Date,DBC,EFA,EMB,GLD,SPY,TLT,VNQ,XLF,XLK,XLV
2015-01-02,15.93104362487793,44.57394790649414,65.25965118408203,114.08000183105469,171.0936737060547,95.46892547607422,53.59623336791992,16.415618896484375,36.268455505371094,57.536380767822266
2015-01-05,15.70383071899414,43.52178192138672,64.84178161621094,115.80000305175781,168.0038299560547,96.9686279296875,53.889564514160156,16.070446014404297,35.71480178833008,57.242958068847656
2015-01-06,15.555272102355957,43.02880096435547,64.63886260986328,117.12000274658203,166.42135620117188,98.71573638916016,54.42409133911133,15.824838638305664,35.2841796875,57.05013656616211
2015-01-07,15.459142684936523,43.50706481933594,65.45069122314453,116.43000030517578,168.4951629638672,98.52079772949219,55.25847625732422,15.990793228149414,35.582984924316406,58.3914794921875
2015-01-08,15.520315170288086,44.0956916809082,65.73123931884766,115.94000244140625,171.48513793945312,97.21611785888672,55.46707534790039,16.229755401611328,36.36513137817383,59.389137268066406
2015-01-09,15.494097709655762,43.88231658935547,65.68948364257812,117.26000213623047,170.1109161376953,98.28084564208984,55.493125915527344,16.010709762573242,36.25087356567383,58.86098861694336
2015-01-12,15.153280258178711,43.77931213378906,65.30744171142578,118.55999755859375,168.77835083007812,98.84322357177734,55.91685485839844,15.877944946289062,35.82904052734375,58.886112213134766
2015-01-13,15.092110633850098,44.000038146972656,65.5163345336914,118.16000366210938,168.30364990234375,98.84322357177734,55.832122802734375,15.824838638305664,35.80268478393555,58.62624740600586
2015-01-14,15.258147239685059,43.87495803833008,66.01180267333984,117.97000122070312,167.28756713867188,99.59310150146484,56.314483642578125,15.599152565002441,35.60055160522461,58.53401565551758
2015-01-15,15.048412322998047,44.15456008911133,66.10139465332031,120.94000244140625,165.75506591796875,101.16016387939453,56.44487762451172,15.406656265258789,35.14356994628906,57.90526580810547
2015-01-16,15.336797714233398,44.72848129272461,66.14918518066406,122.5199966430664,167.92884826660156,99.87043762207031,56.93377685546875,15.592512130737305,35.48630905151367,58.9951171875
2015-01-20,15.127063751220703,44.88297653198242,66.13719940185547,124.19999694824219,168.28692626953125,101.19769287109375,56.48398971557617,15.526143074035645,35.78510284423828,58.9951171875
2015-01-21,15.223193168640137,45.23616027832031,66.0775375366211,124.2300033569336,169.13645935058594,100.02792358398438,56.44487762451172,15.565966606140137,35.84661865234375,59.11249542236328
2015-01-22,15.205716133117676,45.40538787841797,65.87458038330078,125.2300033569336,171.65174865722656,99.66803741455078,57.44874572753906,15.950969696044922,36.435420989990234,59.816707611083984
2015-01-23,15.109587669372559,45.147865295410156,66.65058898925781,124.2300033569336,170.71055603027344,101.05522155761719,57.285762786865234,15.778374671936035,36.4266242980957,59.47295379638672
2015-01-26,15.057154655456543,45.76592254638672,66.02973175048828,122.98999786376953,171.11036682128906,100.74778747558594,57.768157958984375,15.858036994934082,36.27722930908203,59.783172607421875
2015-01-27,15.135804176330566,45.83214569091797,66.50135803222656,124.4000015258789,168.85333251953125,100.90522003173828,57.78770446777344,15.685446739196777,35.231449127197266,59.355613708496094
2015-01-28,14.917330741882324,45.147865295410156,66.56698608398438,123.41999816894531,166.6878662109375,102.55490112304688,57.40311050415039,15.400012016296387,35.16994094848633,58.50047302246094
2015-01-29,14.847417831420898,45.76592254638672,66.65653991699219,120.76000213623047,168.2287139892578,101.88005065917969,57.60519027709961,15.526143074035645,35.50389099121094,58.9951171875
2015-01-30,15.205716133117676,45.04486083984375,66.71627807617188,123.44999694824219,166.11322021484375,103.6871337890625,56.418792724609375,15.273893356323242,35.06447982788086,58.07293701171875
2015-02-02,15.415447235107422,45.58934020996094,66.78158569335938,122.41999816894531,168.17042541503906,103.29566955566406,56.268863677978516,15.519501686096191,35.42479705810547,58.39989471435547
2015-02-03,15.843655586242676,46.317771911621094,67.14093780517578,121.05000305175781,170.6023406982422,101.10919952392578,56.757774353027344,15.778374671936035,35.82904052734375,58.79390335083008
2015-02-04,15.494097709655762,45.9351692199707,66.577880859375,121.58000183105469,169.95272827148438,101.28204345703125,56.523094177246094,15.738554000854492,35.89935302734375,58.056129455566406
2015-02-05,15.70383071899414,46.567928314208984,66.93124389648438,121.79000091552734,171.6683807373047,100.17005920410156,57.201026916503906,15.897860527038574,36.2332878112793,59.03704071044922
2015-02-06,15.747527122497559,45.98666000366211,66.75756072998047,118.63999938964844,171.19363403320312,98.39684295654297,55.53876495361328,16.023984909057617,36.119041442871094,58.50047302246094
2015-02-09,15.904828071594238,45.76592254638672,66.79352569580078,119.16999816894531,170.42745971679688,98.23906707763672,55.147666931152344,15.94432544708252,36.066322326660156,57.813018798828125
2015-02-10,15.70383071899414,46.18532180786133,66.3083724975586,118.47000122070312,172.2430419921875,97.45771789550781,55.32367706298828,16.070446014404297,36.60239791870117,58.785526275634766
2015-02-11,15.581489562988281,45.9351692199707,66.2484130859375,117.06999969482422,172.3429718017578,97.63800048828125,55.16069412231445,16.070446014404297,36.743011474609375,58.844215393066406
2015-02-12,15.817440032958984,46.64887619018555,66.7755355834961,117.33999633789062,174.00035095214844,97.31491088867188,55.819061279296875,16.229755401611328,37.243934631347656,59.053794860839844
2015-02-13,15.992216110229492,46.95790481567383,66.9372787475586,117.9800033569336,174.71664428710938,96.31560516357422,55.4474983215332,16.21647834777832,37.481197357177734,59.28852844238281
2015-02-17,16.00095558166504,47.06826400756836,66.82344818115234,116.01000213623047,174.99148559570312,94.86557006835938,55.31061553955078,16.26958465576172,37.49878692626953,59.71611785888672
2015-02-18,15.80870246887207,47.347869873046875,66.79951477050781,116.33999633789062,175.00808715820312,95.42903137207031,55.825599670410156,16.170015335083008,37.53394317626953,59.783172607421875
2015-02-19,15.756267547607422,47.406734466552734,66.60185241699219,115.94000244140625,174.88316345214844,94.79792022705078,54.626155853271484,16.103633880615234,37.66575241088867,59.88378143310547
2015-02-20,15.695093154907227,47.84819793701172,66.78752136230469,115.27999877929688,175.93263244628906,95.07588195800781,55.15418243408203,16.223119735717773,37.85910415649414,60.51255798339844
2015-02-23,15.590227127075195,47.67897415161133,66.69767761230469,115.43000030517578,175.90760803222656,96.16532897949219,55.59743881225586,16.183292388916016,37.88545227050781,60.789222717285156
